Project Name,Label,Mean,Std-dev,Values
spring-boot,CT1,80.4724107469831,2.65068449564087,77.96389770507812;83.04070281982422;80.20559692382812;83.12640380859375;83.02010345458984;82.87519836425781;75.95429992675781;81.90180206298828;77.70960235595703;75.79129791259766;82.45140075683594;79.8021011352539;81.83429718017578;77.79440307617188;82.61039733886719;81.79429626464844;81.5541000366211;77.6438980102539;77.48190307617188;81.58219909667969;79.66889953613281;76.3958969116211;79.20189666748047;81.52950286865234;83.8467025756836;81.41500091552734;86.5645980834961;78.46710205078125
spring-boot,CT2,29.637268855654,5.93316681352435,26.864200592041016;39.210899353027344;39.39250183105469;25.863399505615234;39.200599670410156;27.338699340820312;34.510398864746094;23.665599822998047;39.340599060058594;30.310699462890625;20.33530044555664;25.906999588012695;37.68550109863281;31.999399185180664;25.00079917907715;27.447999954223633;30.521900177001953;36.012298583984375;29.713899612426758;24.578500747680664;25.48349952697754;31.038999557495117;22.138399124145508;29.255199432373047;19.692100524902344;31.825000762939453;31.219499588012695;19.851600646972656;34.07630157470703
spring-boot,CT3,15.579353427887,8.6253772366682,11.19890022277832;9.593299865722656;14.973899841308594;9.430899620056152;17.603700637817383;19.12849998474121;19.843799591064453;10.537400245666504;14.920100212097168;4.13640022277832;5.618199825286865;12.383099555969238;11.837699890136719;36.06529998779297;3.689300060272217;12.686400413513184;22.708200454711914;22.19610023498535;29.9197998046875;24.52790069580078;8.870699882507324;3.5785999298095703;16.380199432373047;16.662900924682617;24.434499740600586;8.242400169372559;29.316600799560547;12.695899963378906;3.887700080871582;30.31220054626465
spring-boot,CT4,34.8463586609939,6.96737620110399,34.727901458740234;25.738300323486328;45.34239959716797;31.029399871826172;38.41419982910156;32.52220153808594;33.4724006652832;25.214399337768555;34.77159881591797;55.601898193359375;26.366300582885742;29.9335994720459;22.21150016784668;43.49020004272461;48.1254997253418;34.44490051269531;36.41279983520508;35.269901275634766;33.48630142211914;39.2515983581543;32.042198181152344;38.97560119628906;33.604801177978516;30.644800186157227;30.337799072265625;35.94060134887695;33.910400390625;29.194599151611328;40.06629943847656
spring-boot,CT5,24.8160758840627,3.08358211727647,25.60140037536621;20.076900482177734;28.722700119018555;20.572799682617188;27.986900329589844;28.78689956665039;24.06410026550293;20.944400787353516;26.23940086364746;26.108800888061523;27.172800064086914;30.752599716186523;24.898300170898438;27.44659996032715;24.56719970703125;21.59630012512207;27.153799057006836;25.464399337768555;22.127099990844727;24.678699493408203;24.756000518798828;23.52039909362793;17.388999938964844;29.91670036315918;22.29960060119629;25.253599166870117;26.116199493408203;21.45490074157715;23.997699737548828
spring-boot,CT6,2.93181154361138,0.724735476199137,3.2804999351501465;3.928299903869629;3.888000011444092;2.6637001037597656;1.582800030708313;3.367000102996826;2.513000011444092;3.2599000930786133;2.594399929046631;1.5454000234603882;2.3229000568389893;2.113600015640259;4.557499885559082;3.43530011177063;3.2388999462127686;3.3380000591278076;3.583199977874756;3.4072999954223633;3.4800000190734863;2.2894999980926514;2.369499921798706;2.2344000339508057;3.3631999492645264;3.1354000568389893;2.3935999870300293;2.3417999744415283
spring-boot,CT7,3.01528074649664,0.925314549600106,4.3765997886657715;2.550100088119507;2.1572000980377197;1.801200032234192;2.8210999965667725;4.379799842834473;3.889899969100952;3.088399887084961;3.841099977493286;2.7843000888824463;2.4553000926971436;1.1722999811172485;2.16729998588562;4.0553998947143555;3.285599946975708;2.337399959564209;3.6865999698638916;2.4179999828338623;2.316499948501587;1.8288999795913696;2.315700054168701;4.402500152587891;2.3397998809814453;4.121699810028076;4.186500072479248;3.6180999279022217
spring-boot,CT8,2.66757144459656,1.11153170641705,2.4147000312805176;4.35260009765625;4.368299961090088;2.8626999855041504;1.3795000314712524;0.9638000130653381;2.48009991645813;3.356100082397461;2.685699939727783;3.821500062942505;2.120500087738037;2.414099931716919;1.1246999502182007;2.0861001014709473;0.9467999935150146;2.5255000591278076;4.032299995422363;5.514400005340576;2.039099931716919;1.940000057220459;2.5980000495910645;3.9102001190185547;2.0083000659942627;1.7345000505447388;1.9462000131607056;3.924999952316284;3.0332999229431152;2.1080000400543213
spring-boot,CT9,2.46061200618744,0.733313996272116,2.4421000480651855;4.025000095367432;3.5132999420166016;2.5889999866485596;2.389400005340576;2.4231998920440674;2.207900047302246;3.195199966430664;2.3115999698638916;2.588599920272827;2.5053000450134277;3.3594000339508057;1.347100019454956;1.0821000337600708;2.7116000652313232;2.47160005569458;2.077699899673462;2.365299940109253;2.218600034713745;2.787899971008301;3.870300054550171;2.218600034713745;1.1883000135421753;1.3741999864578247;2.252000093460083
spring-boot,CT10,2.98352398872375,0.260587249145407,2.652600049972534;3.566999912261963;3.114300012588501;3.165299892425537;3.0172998905181885;2.835200071334839;3.2188000679016113;3.036799907684326;3.057300090789795;3.128700017929077;3.176100015640259;3.1919000148773193;2.276099920272827;3.1593000888824463;3.1765999794006348;2.9433000087738037;3.178100109100342;2.4921998977661133;2.890899896621704;2.7923998832702637;2.7416999340057373;3.003700017929077;2.7509000301361084;3.017400026321411;3.004199981689453
